site_code,node,site_name,site_type,rkm
AEN,AEN,Aeneas Creek Temporary Array,INT,858.086.001
ANR,ANR,Antoine Creek at AV Ranch,INT,858.099.005
ANT,ANT_D,Antoine Creek Instream Array,INT,858.099.000
ANT,ANT_U,Antoine Creek Instream Array,INT,858.099.000
BPC,BPC_D,Bonaparte Creek Instream Array,INT,858.092.001
BPC,BPC_U,Bonaparte Creek Instream Array,INT,858.092.001
BVC,BVC_D,"Beaver Creek, Methow River",INT,843.057.001
BVC,BVC_U,"Beaver Creek, Methow River",INT,843.057.001
CHL,CHL_D,Lower Chiwawa River,INT,754.077.001
CHIWAR,CHL_U,Chiwawa River,MRR,754.077
CHL,CHL_U,Lower Chiwawa River,INT,754.077.001
CHP,CHL_U,Chiwawa Acc. Pond,INT,754.077.002
CHM,CHM_D,Chumstick Creek,INT,754.037.000
CHM,CHM_U,Chumstick Creek,INT,754.037.000
CHU,CHU_D,Upper Chiwawa River,INT,754.077.012
CHIKAC,CHU_U,"Chikamin Creek, tributary to Chiwawa River",MRR,754.077.023
CHU,CHU_U,Upper Chiwawa River,INT,754.077.012
CHW,CHW_D,Chiwaukum Creek,INT,754.057.000
CHIWAC,CHW_U,"Chiwaukum Creek, tributary to Wenatchee River",MRR,754.057
CHW,CHW_U,Chiwaukum Creek,INT,754.057.000
CLK,CLK,Colockum Creek,INT,740.001
CRU,CRU_D,Upper Chewuch Instream Array,INT,843.080.028
CRU,CRU_U,Upper Chewuch Instream Array,INT,843.080.028
CRW,CRW_D,Chewuch River above Winthrop,INT,843.080.001
CRW,CRW_U,Chewuch River above Winthrop,INT,843.080.001
EBO,EBO_D,East Bank Hatchery Outfall,INT,764
EHL,EHL_D,Entiat NFH Adult Ladder,INT,778.011
EHL,EHL_U,Entiat NFH Adult Ladder,INT,778.011
ENA,ENA_D,Upper Entiat River at rkm 17.1,INT,778.017
ENA,ENA_U,Upper Entiat River at rkm 17.1,INT,778.017
ENM,ENA_U,Middle Entiat River,INT,778.026
ENS,ENA_U,Upper Entiat River at rkm 35.7,INT,778.036
ENF,ENF_D,Upper Entiat River at rkm 40.6,INT,778.041
ENF,ENF_U,Upper Entiat River at rkm 40.6,INT,778.041
ENL,ENL_D,Lower Entiat River,INT,778.002
ENL,ENL_U,Lower Entiat River,INT,778.002
FST,FST,Foster Creek,INT,868.001
GLC,GLC_D,"Gold Creek, Methow River",INT,843.035.001
GLC,GLC_U,"Gold Creek, Methow River",INT,843.035.001
HST,HST_D,Touchet River at Harvey Shaw,INT,509.035.050
ICH,ICH_D,Ice Harbor Dam (Combined),INT,522.016
ICL,ICL_D,Lower Icicle Instream Array,INT,754.041.000
ICL,ICL_U,Lower Icicle Instream Array,INT,754.041.000
ICM,ICM_D,Middle Icicle Instream Array,INT,754.041.007
ICM,ICM_U,Middle Icicle Instream Array,INT,754.041.007
ICU,ICU_D,Upper Icicle Instream Array,INT,754.041.010
ICU,ICU_U,Upper Icicle Instream Array,INT,754.041.010
JD1,JD1_D,"John Day River, McDonald Ferry",INT,351.032
158,JDA,Fifteenmile Ck at Eightmile Ck,INT,309.004
15D,JDA,Fifteenmile Ck at Dry Ck,INT,309.038
15MILC,JDA,"Fifteen Mile Creek, near The Dalles, Oregon",MRR,309
15R,JDA,Fifteenmile Ck at Ramsey Ck,INT,309.056
3MIL2C,JDA,"Threemile Creek, The Dalles",MRR,307
85M,JDA,Eightmile Ck at Fivemile Ck,INT,309.004.002
AB1,JDA,Abernathy Creek FWS Tech Cntr.,INT,087.005
AB2,JDA,Abernathy Creek Farmers Bridge,INT,087.003
AB3,JDA,Lower Abernathy Creek,INT,087.001
AB4,JDA,Abernathy Creek Hatch Channel,INT,087.005
ABEH,JDA,Abernathy SCTC,MRR,087.005
ABERC,JDA,"Abernathy Creek, Lower Columbia River, Washington",MRR,087
ANTELC,JDA,Antelope Creek - tributary to Trout Creek (TROU2C) in the Deschutes River basin,MRR,328.140.021
ASMEBR,JDA,Astoria-Megler Bridge ,MRR,012
B1J,JDA,BONNEVILLE PH1 JUVENILE,INT,234
B2A,JDA,BONNEVILLE ADULT WA SHORE,INT,234
B2J,JDA,Bonneville PH2 Juvenile,INT,234
BAD,JDA,Barrier Dam,MRR,111.080
BAKEOC,JDA,"Bakeoven Creek, Deschutes River Basin",MRR,328.083
BCC,JDA,BON PH2 Corner Collector,INT,234
BCHINL,JDA,Lake Billy Chinook,MRR,328.177
BCL,JDA,Big Cliff Dam - North Santiam River,MRR,163.174.019.073
BCLFBY,JDA,BCL - Release into the Forebay within 0.5 km upstream of Dam,MRR,163.174.019.073
BCLTAL,JDA,BCL - Release into the Tailrace within 0.5 km downstream of Dam,MRR,163.174.019.073
BEAR3C,JDA,"Bear Creek, Columbia River Estuary, Oregon",MRR,033
BERRYC,JDA,Berry Creek - Clackamas Subbasin,MRR,163.040.120.006
BHL,JDA,Adult Fishway at BONH,INT,232.001
BIG1C,JDA,"Big Creek, lower Columbia River near Knappa, OR",MRR,043
BIGC,JDA,Big Creek Hatchery (ODFW) near Knappa,MRR,043.006
BIGWSP,JDA,Big White Salmon Ponds,MRR,271.002
BLKBAS,JDA,"Blackberry Acc. Site, WF Hood River",MRR,273.020.014
BLNDSL,JDA,Blind Slough Net Pens (Oregon side of Columbia River Estuary),MRR,047
BLUEC,JDA,"Blue Creek, Klickitat River Basin",MRR,290.063.008.004
BO1,JDA,Bonneville Bradford Is. Ladder,INT,234
BO1BYP,JDA,BON - Release into PH1 Juvenile Facility Bypass Flume/Pipe,MRR,234
BO1GWL,JDA,BON - Release into PH1 Gatewell(s),MRR,234
BO2,JDA,Bonneville Cascades Is. Ladder,INT,234
BO2BCC,JDA,BON - Release into the PH2 Bypass Corner Collector,MRR,234
BO2BYP,JDA,BON - Release into the PH2 Juvenile Facility Bypass Flume/Pipe,MRR,234
BO2GAT,JDA,BON - Release into the PH2 Juvenile Facility Flume between the Separator Exit and the Primary PIT-Tag Diversion Gate,MRR,234
BO2GWL,JDA,BON - Release into PH2 Gatewell(s),MRR,234
BO2ORI,JDA,BON - Release into PH2 Orifice(s),MRR,234
BO2RRR,JDA,BON - Release below the PH2 Juvenile Facility PIT-Tag Diversion System Gate with subsequent Return to the River,MRR,234
BO3,JDA,Bonneville WA Shore Ladder/AFF,INT,234
BO4,JDA,Bonneville WA Ladder Slots,INT,234
BON,JDA,Bonneville Dam Complex,MRR,234
BONAFF,JDA,BON - Adult Fish Facility,MRR,234
BONH,JDA,Bonneville Hatchery,MRR,232.001
BONLD1,JDA,BON - Release into the Bradford Island Adult Fish Ladder,MRR,234
BONLD2,JDA,BON - Release into the Cascades Island Adult Fish Ladder,MRR,234
BONLD3,JDA,BON - Release into the Washington Shore Adult Fish Ladder,MRR,234
BONMRT,JDA,BON - Mortality Recovery,MRR,234
BOWMNC,JDA,"Bowman Creek, tributary to Little Klickitat River",MRR,290.033.002
BREITR,JDA,"Breitenbush River, North Santiam River Basin",MRR,163.174.019.088
BRUS2C,JDA,"Brush Creek, Klickitat River Basin",MRR,290.063.008
BUCK3C,JDA,"Buck Creek, White Salmon River Basin (WA)",MRR,271.008
BUCKHC,JDA,"Buckhollow Creek, Deschutes River Basin",MRR,328.069
BVJ,JDA,BONNEVILLE DAM DMS1 SUBSAMPLE,INT,234
BVX,JDA,Bonneville PH1 Juvenile (Exp.),INT,234
BWL,JDA,Bonneville WA Shore Ladder,INT,234
CAL,JDA,Carson NFH Adult Return Ladder,INT,251.028.000
CALAPR,JDA,Calapooia River,MRR,163.192
CAMPSL,JDA,"Campbell Slough, Lower Columbia",MRR,148
CANDLC,JDA,"Candle Creek, tributary to the Metolius River",MRR,328.177.044
CANY3C,JDA,"Canyon Creek, tributary to the Metolius River",MRR,328.177.055
CARS,JDA,Carson National Fish Hatchery,MRR,251.028
CBD,JDA,Clear Branch Dam,MRR,273.023.015.001
CBDFBY,JDA,CBD - Release into the Forebay within 0.5 km upstream of Dam,MRR,273.023.015.001
CBL,JDA,Clear Branch below the Dam,INT,273.023.015.001
CBS,JDA,Clear Branch Dam spillway,INT,273.023.015.001
CCC,JDA,"Carrolls Channel, Lwr Col Riv",INT,115
CEDARC,JDA,"Cedar Creek, tributary to Lewis River",MRR,140.025
CFD,JDA,Cowlitz Falls Dam,INT,111.133
CFD,JDA,Cowlitz Falls Dam,MRR,111.133
CFDNSC,JDA,CFD - Release into North Shore Collector Flume,MRR,111.133
CFDSF2,JDA,CFD - Release directly into spillway flume 2,MRR,111.133
CFDSF3,JDA,CFD - Release directly into spillway flume 3,MRR,111.133
CFDTAL,JDA,CFD - Release into the Tailrace within 0.5 km downstream of Dam,MRR,111.133
CFF,JDA,Castile Falls Fishway,INT,290.103
CGJ,JDA,Cougar Dam PFFC,INT,163.282.090.007
CGR,JDA,Cougar Dam,MRR,163.282.090.007
CGRTAL,JDA,CGR - Release into the Tailrace within 0.5 km downstream of Dam,MRR,163.282.090.007
CHENC,JDA,"Chenoweth Creek, The Dalles",MRR,300
CHINOR,JDA,"Chinook River, Washington (Columbia River Estuary)",MRR,006
CIC,JDA,"Cottonwood Island, Lwr Col Rvr",INT,112
CISPUR,JDA,Cispus River - tributary to Cowlitz River,MRR,111.135
CLCKMS,JDA,Clackamas River,MRR,163.040
CLEA3C,JDA,Clear Creek - tributary to Muddy River,MRR,140.087.007
CLEARP,JDA,Clear Creek Acclimation Pond,MRR,140.087.007.002
CLRBR,JDA,"Clear Branch, Middle Fork Hood River Watershed",MRR,273.023.015
COLR,JDA,Columbia River (Archaic - replaced with reach-specific definitions),MRR,000
COLR1,JDA,"Columbia River - mouth to Three Tree Point, WA (km 0-49)",MRR,000
COLR10,JDA,Columbia River - East Arrow Park to Revelstoke (km 1359 - 1476),MRR,000
COLR2,JDA,"Columbia River - Three Tree Point, WA to Lewis River (km 49-140)",MRR,000
COLR3,JDA,Columbia River - Lewis River to Bonneville Dam (km 140-234),MRR,000
COLR4,JDA,Columbia River - Bonneville Dam to John Day Dam (km 234-347),MRR,000
COLR5,JDA,Columbia River - John Day Dam to Snake River (km 347-522),MRR,000
COLR6,JDA,Columbia River - Snake River to Lower Crab Creek (km 522-661),MRR,000
COLR7,JDA,"Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",MRR,000
COLR8,JDA,"Columbia River - Chelan Falls, WA to Grand Coulee Dam (km 809-960)",MRR,000
COLR9,JDA,"Columbia River - Grand Coulee Dam to East Arrow Park, CAN (km 960-1359)",MRR,000
COWEAP,JDA,Coweeman Acclimation Pond,MRR,111.002.021
COWEER,JDA,"Coweeman River, tributary to Cowlitz River",MRR,111.002
COWLR1,JDA,Cowlitz River - mouth to Cispus River (km 0-135),MRR,111
COWLR2,JDA,Cowlitz River - Cispus River to Clear Fork (km 135-202),MRR,111
COWS,JDA,Cowlitz Salmon Hatchery,MRR,111.080
COWT,JDA,Cowlitz Trout Hatchery,MRR,111.071
CR1,JDA,Chinook River Sea Resources CF,INT,006.005
CRABP,JDA,Crab Creek Acclimation Pond,MRR,140.104
CROOK1,JDA,Crooked River - Lake Billy Chinook to Prineville Reservoir (km 0-113),MRR,328.177
CSH,JDA,Cowlitz Salmon Hatchery Ladder,INT,111.080
CUBC,JDA,Cub Creek - Clackamas Subbasin,MRR,163.040.120
CUNNSL,JDA,Cunningham Slough,MRR,139.000
DBH,JDA,Buck Hollow Ck Deschutes Trib,INT,328.069.001
DBO,JDA,Bakeoven Ck Deschutes Trib,INT,328.083.001
DEEPR,JDA,"Deep River, tributary to Columbia River",MRR,035
DESCH1,JDA,Deschutes River - mouth to Round Butte Dam (0-177 km),MRR,328
DESCH2,JDA,Deschutes River - Round Butte Dam to headwaters (177-393 km),MRR,328
DET,JDA,"Detroit Dam (USACE), North Santiam River",MRR,163.174.019.078
DETFBY,JDA,DET - Release into the Forebay within 0.5 km upstream of Dam,MRR,163.174.019.078
DETTAL,JDA,DET - Release into the Tailrace within 0.5km downstream of Dam,MRR,163.174.019.078
DEX,JDA,"Dexter Dam (USACE), Middle Fork Willamette River",MRR,163.301.027
DEXTAL,JDA,DEX - Release into the Tailrace within 0.5km downstream of Dam,MRR,163.301.027
DILACC,JDA,"Dillacort Creek, Klickitat River",MRR,290.009
DOGRVR,JDA,"Dog River, tributary to EF Hood River (OR)",MRR,273.023.016
DRANOL,JDA,Drano Lake,MRR,261
DRIFTC,JDA,Drift Creek - tributary to Lewis River,MRR,140.079
DRM,JDA,Deschutes River mouth,INT,328.001
DRNP,JDA,"Deep River Net Pens (Deep River, Washington)",MRR,035.002
DRYC,JDA,"Dry Creek, tributary to Fifteenmile Creek",MRR,309.038
DSF,JDA,Deschutes Sherars Falls,INT,328.071
DXP,JDA,Dexter Ponds Fish Ladder,INT,163.301.027
EAG2NF,JDA,"North Fork Eagle Creek, Clackamas River Basin",MRR,163.040.026.010
EAGH,JDA,"Eagle Creek National Fish Hatchery, Clackamas River Basin",MRR,163.040.026.016
EAGL2C,JDA,"Eagle Creek, Clackamas River Basin",MRR,163.040.026
ECH,JDA,Eagle Creek Hatchery Ladder,INT,163.040.026.020
ECL,JDA,Eagle Creek Lower Fish Ladder,INT,163.040.026.010
EFD,JDA,East Fork Diversion Fishway,INT,273.023.011
EFHORC,JDA,"East Fork Horse Creek, McKenzie River Basin",MRR,163.282.101
EIGH2C,JDA,"Eightmile Creek, Fifteenmile Creek Watershed",MRR,309.004
ELRH,JDA,"Elochoman River Hatchery (Elochoman River, Washington)",MRR,058.019
ESANIS,JDA,"East Sand Island, Columbia River",MRR,008
FAL,JDA,"Fall Creek Dam (USACE), MF Willamette River",MRR,163.301.013
FALL2C,JDA,"Fall Creek, MF Willamette River Basin",MRR,163.301.017
FALTAL,JDA,FAL - Release into the Tailrace within 0.5 km downstream of Dam,MRR,163.301.013
FID,JDA,"Farmer's Diversion, Hood River",INT,273.017
FIVE2C,JDA,"Fivemile Creek, Fifteen Mile Creek Watershed",MRR,309.004.002
FOL,JDA,Foster Dam Ladder S Santiam R,INT,163.174.019.060
FOS,JDA,Foster Dam Weir,INT,163.174.019.060
FOS,JDA,"Foster Dam, South Santiam River",MRR,163.174.019.060
FOSFBY,JDA,FOS - Release into the Forebay within 0.5 km upstream of Dam,MRR,163.174.019.060
FOSTAL,JDA,FOS - Release into the Tailrace within 0.5 km downstream of Dam,MRR,163.174.019.060
FRFH,JDA,Fall River Fish Hatchery,MRR,328.324.011
GEECR,JDA,"Gee Creek, Washington, lower Columbia River",MRR,140
GERMC,JDA,"Germany Creek, Lower Columbia River, Washington",MRR,090
GM1,JDA,Lower Germany Creek,INT,090.001
GPD,JDA,Green Peter Dam,MRR,163.174.019.064.009
GRAYSR,JDA,"Grays River, Washington, lower Columbia River",MRR,032
GREENR,JDA,"Green River, trib. to NF Toutle River",MRR,111.032.028.018
GREEPC,JDA,Green Point Creek (tributary to West Fork Hood River),MRR,273.020.002
HCR,JDA,"Hills Creek Dam, Middle Fork Willamette River",MRR,163.301.073
HCRFBY,JDA,HCR - Release into the Forebay within 0.5 km upstream of Dam,MRR,163.301.073
HCRREG,JDA,HCR - Release into the Regulating Channel of the Tailrace within 0.5 km of Dam,MRR,163.301.073
HCRTUR,JDA,HCR - Release into the Turbine Channel of the Tailrace within 0.5 km of Dam,MRR,163.301.073
HERMAC,JDA,"Herman Creek, Columbia River Gorge (OR)",MRR,243
HLK,JDA,"Hemlock Dam, Wind River (WA) watershed",MRR,251.017.002
HLKTAL,JDA,HLK - Release into the Tailrace within 0.5 km downstream of Dam,MRR,251.017.002
HLX,JDA,Hemlock Dam Fish Ladder Exp.,INT,251.017.002
HOODEF,JDA,East Fork Hood River,MRR,273.023
HOODMF,JDA,Middle Fork Hood River,MRR,273.023
HOODR,JDA,Hood River,MRR,273
HOODWF,JDA,West Fork Hood River,MRR,273.020
HORS2C,JDA,"Horse Creek, upper McKenzie River Basin",MRR,163.282.101
HRM,JDA,Hood River Mouth,INT,273.000
JDA,JDA,John Day Dam,MRR,347
JDABYP,JDA,JDA - Release into the Facility Bypass Flume/Pipe,MRR,347
JDACOL,JDA,JDA - Release into the Collection Channel upstream of the Dewatering Facility,MRR,347
JDAFBY,JDA,JDA - Release into the Forebay within 0.5 km upstream of Dam,MRR,347
JDAGAT,JDA,JDA - Release into Flume between Separator Exit and the Primary PIT-Tag Diversion Gate,MRR,347
JDAGWL,JDA,JDA - Release into Gatewell(s),MRR,347
JDALD1,JDA,JDA - Release into south fish ladder,MRR,347
JDALD2,JDA,JDA - Release into north fish ladder,MRR,347
JDAMRT,JDA,JDA - Mortality Recovery,MRR,347
JDARRR,JDA,JDA - Release below the PIT-Tag Diversion System Gate with subsequent Return to the River at the Facility,MRR,347
JDATAL,JDA,JDA - Release into the Tailrace within 0.5 km downstream of Dam,MRR,347
JDJ,JDA,John Day Dam Juvenile,INT,347
JDPI,JDA,Preacher's Island downstream of John Day Dam,MRR,345
JNSCAS,JDA,"Jones Creek Acc. Site, WF Hood River",MRR,273.020.041
JO1,JDA,John Day South Fish Ladder,INT,347
JO2,JDA,John Day North Fish Ladder,INT,347
KALA,JDA,"Kalama Falls Hatchery, WDFW",MRR,118.017
KALAMR,JDA,Kalama River,MRR,118
KLICKR,JDA,Klickitat River,MRR,290
KLIH,JDA,Klickitat Hatchery,MRR,290.069
KLR,JDA,Klickitat Riv. Floating Array,INT,290.005
LAKE2C,JDA,"Lake Creek, Metolius River watershed",MRR,328.177.061.007
LAKEBR,JDA,Lake Branch (tributary to West Fork Hood River),MRR,273.020.009
LASTC,JDA,Last Creek - Clackamas Subbasin,MRR,163.040.109.002
LAURLK,JDA,Laurance Lake Reservoir,MRR,273.023.015.002
LD1,JDA,Lebanon Dam South Ladder,INT,163.174.019.032
LD2,JDA,Lebanon Dam North Ladder,INT,163.174.019.032
LD3,JDA,Lebanon Dam Diversion Bypass,INT,163.174.019.032
LD4,JDA,Lebanon Dam Spillway,INT,163.174.019.032
LEA,JDA,Leaburg Dam Combined Fishways,INT,163.282.056.000
