"Tag Code","Event File Name","Event Type Name","Event Capture Method Name","Event Capture Method Code","Event Site Name","Event Site Code Value","Event Date MMDDYYYY","Event Date Time Value","Event Release Site Name","Event Release Date MMDDYYYY","Event Release Date Time Value","Event Rear Type Name","Event Rear Type Code","Event Species Code","Event Species Name","Event SRR Code","Event SRR Name","Event Conditional Comments Code","Event Conditional Comments Name","Mark File Name","Mark Data Project Code and Name","Mark Species Name","Mark Rear Type Name","Mark Site Code Value","Mark Date MMDDYYYY","CTH Count"
"3DD.003BDDBF78","NBD-2023-139-PR2.xml","Mark","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","5/19/2023","5/19/2023 6:31:12 PM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","5/19/2023","5/19/2023 6:31:12 PM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AI CW MT RF","Adipose Intact (not clipped), Coded Wire Tag, Returning Fish, Mature","NBD-2023-139-PR2.xml","NBD - Mid Columbia Field Office Projects","Steelhead","Hatchery Reared","PRDLD1","5/19/2023","1"
"3DD.003BDDBFAC","NBD-2023-125-PRD.xml","Mark","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","5/5/2023","5/5/2023 10:59:22 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","5/5/2023","5/5/2023 10:59:22 AM","Wild Fish or Natural Production","W","3","Steelhead","32W","Wild Summer Steelhead","AI FE MT RF","Adipose Intact (not clipped), Female, Mature, Returning Fish","NBD-2023-125-PRD.xml","NBD - Mid Columbia Field Office Projects","Steelhead","Wild Fish or Natural Production","PRDLD1","5/5/2023","1"
"3DD.003BDDBFCE","NBD-2023-107-PRD.xml","Mark","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","4/17/2023","4/17/2023 3:29:06 PM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","4/17/2023","4/17/2023 3:29:06 PM","Wild Fish or Natural Production","W","3","Steelhead","32W","Wild Summer Steelhead","AI MA MT RF","Adipose Intact (not clipped), Male, Returning Fish, Mature","NBD-2023-107-PRD.xml","NBD - Mid Columbia Field Office Projects","Steelhead","Wild Fish or Natural Production","PRDLD1","4/17/2023","1"
"3DD.003BDDBFE8","NBD-2023-111-PRD.xml","Mark","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","4/21/2023","4/21/2023 12:25:22 PM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","4/21/2023","4/21/2023 12:25:22 PM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AD FE MT RF","Returning Fish, Mature, Adipose Fin Clip, Female","NBD-2023-111-PRD.xml","NBD - Mid Columbia Field Office Projects","Steelhead","Hatchery Reared","PRDLD1","4/21/2023","1"
"3DD.003BDDBFE9","NBD-2023-121-PRD.xml","Mark","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","5/1/2023","5/1/2023 11:37:09 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","5/1/2023","5/1/2023 11:37:09 AM","Wild Fish or Natural Production","W","3","Steelhead","32W","Wild Summer Steelhead","AI FE MT RF","Adipose Intact (not clipped), Female, Mature, Returning Fish","NBD-2023-121-PRD.xml","NBD - Mid Columbia Field Office Projects","Steelhead","Wild Fish or Natural Production","PRDLD1","5/1/2023","1"
"3DD.003BDDC0F2","NBD-2023-135-PRD.xml","Mark","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","5/15/2023","5/15/2023 1:30:21 PM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","5/15/2023","5/15/2023 1:30:21 PM","Wild Fish or Natural Production","W","3","Steelhead","30W","Wild O. mykiss (unknown migratory status)","AI","Adipose Intact (not clipped)","NBD-2023-135-PRD.xml","NBD - Mid Columbia Field Office Projects","Steelhead","Wild Fish or Natural Production","PRDLD1","5/15/2023","1"
"3DD.003BDF0DF0","NBD-2023-137-PRD.xml","Mark","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","5/17/2023","5/17/2023 12:40:27 PM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","5/17/2023","5/17/2023 12:40:27 PM","Wild Fish or Natural Production","W","3","Steelhead","32W","Wild Summer Steelhead","AI MT RF","Adipose Intact (not clipped), Mature, Returning Fish","NBD-2023-137-PRD.xml","NBD - Mid Columbia Field Office Projects","Steelhead","Wild Fish or Natural Production","PRDLD1","5/17/2023","1"
"3DD.003BE69EC5","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","9/20/2022","9/20/2022 12:00:42 PM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","9/20/2022","9/20/2022 12:00:42 PM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AD FE RE RF","Female, Adipose Fin Clip, Recapture, Returning Fish","CGS-2019-323-002.xml","CGS - Charles Snow Projects","Steelhead","Hatchery Reared","WELH","11/19/2019","1"
"3DD.003BE6A64E","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","9/29/2022","9/29/2022 10:26:34 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","9/29/2022","9/29/2022 10:26:34 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AD FE RE RF","Female, Adipose Fin Clip, Recapture, Returning Fish","CGS-2019-323-002.xml","CGS - Charles Snow Projects","Steelhead","Hatchery Reared","WELH","11/19/2019","1"
"3DD.003BE6A8E2","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","8/17/2022","8/17/2022 6:57:06 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","8/17/2022","8/17/2022 6:57:06 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AD MA RE RF","Returning Fish, Male, Recapture, Adipose Fin Clip","CGS-2019-323-002.xml","CGS - Charles Snow Projects","Steelhead","Hatchery Reared","WELH","11/19/2019","1"
