"Tag Code","Mark File Name","Mark Date MMDDYYYY","Mark Site Name","Release Date MMDDYYYY","Release Site Name","Mark Conditional Comment Name","Mark Conditional Comment Code","SRR Code","SRR Name","SRR Code Code","Species Code","Species Name","Run Code","Run Name","Rear Type Code","Rear Type Name","Recap Date MMDDYYYY","Recap File Name","Recap Release Date MMDDYYYY","Recap Release Site Name","Recap Site Name","Recap Species Code","Recap Species Name","Recap Run Code","Recap Run Name","Recap Rear Type Code","Recap Rear Type Name","Recap SRR Code","Recap SRR Name","Recap Conditional Comment Name","Recap Conditional Comment Code","Recap Count"
"384.1B796A202D","BDL10320.H52","11/16/2010","HAGE - Hagerman NFH","4/22/2011","SAWT - Sawtooth Hatchery","Adipose Fin Clip","AD","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/6/2012","TLM-2012-188-PRD.xml","9/18/2012","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Adipose Fin Clip, Female, Returning Fish, Recapture, Mature","RE RF MT FE AD","1"
"384.1B796A5913","BDL10321.H55","11/17/2010","HAGE - Hagerman NFH","5/17/2011","YANKFK - Yankee Fork Salmon River","Adipose Intact (not clipped)","AI","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/8/2013","TLM-2013-189-PRD.xml","10/14/2013","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Returning Fish, Mature, Male, Recapture","RE RF MT MA","1"
"384.1B796D9B3A","BDL10321.H39","11/17/2010","HAGE - Hagerman NFH","5/3/2011","SALEFT - East Fork Salmon River Trap","Coded Wire Tag","CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/6/2012","TLM-2012-188-PRD.xml","9/13/2012","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Male, Recapture, Coded Wire Tag, Mature, Returning Fish","RE RF MT MA CW","1"
"384.1B797642F4","JKF12236.AFF","8/23/2012","BONAFF - BON - Adult Fish Facility","8/23/2012","BONAFF - BON - Adult Fish Facility","Body Injury - Prior to Tagging, Returning Fish, Mature, Adipose Fin Clip, Tagged as Adult","MT AT I AD RF","32U","Summer Steelhead (unknown r/t)","32U","3","Steelhead","2","Summer","U","Unknown","7/6/2012","TLM-2012-188-PRD.xml","9/4/2012","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Adipose Fin Clip, Female, Returning Fish, Recapture, Mature","RE RF MT FE AD","1"
"384.1B7976903D","JKF12207.AFF","7/25/2012","BONAFF - BON - Adult Fish Facility","7/25/2012","BONAFF - BON - Adult Fish Facility","Body Injury - Prior to Tagging, Returning Fish, Mature, Adipose Fin Clip, Tagged as Adult","MT AT I AD RF","32U","Summer Steelhead (unknown r/t)","32U","3","Steelhead","2","Summer","U","Unknown","7/6/2012","TLM-2012-188-PRD.xml","8/14/2012","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Adipose Fin Clip, Coded Wire Tag, Returning Fish, Female, Mature, Recapture","RE RF MT FE AD CW","1"
"384.1B7976938A","JKF12240.AFF","8/27/2012","BONAFF - BON - Adult Fish Facility","8/27/2012","BONAFF - BON - Adult Fish Facility","Mature, Returning Fish, Adipose Fin Clip, Right Ventral Fin Clip, Tagged as Adult","MT AT RV AD RF","32U","Summer Steelhead (unknown r/t)","32U","3","Steelhead","2","Summer","U","Unknown","7/6/2012","TLM-2012-188-PRD.xml","9/18/2012","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Adipose Fin Clip, Mature, Returning Fish, Recapture, Male, Right Ventral Fin Clip","RE RF MT MA AD RV","1"
"384.36F2B34EB9","MRC12276.WT3","10/2/2012","WINT - Winthrop National Fish Hatchery","4/12/2013","WINT - Winthrop National Fish Hatchery","Adipose Fin Clip, Coded Wire Tag","AD CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/6/2015","NBD-2015-187-PRD.xml","8/28/2015","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Male, Mature, Recapture, Returning Fish, Radio Tagged","RF MT RE MA RT","1"
"384.36F2B35218","MRC12276.WT3","10/2/2012","WINT - Winthrop National Fish Hatchery","4/12/2013","WINT - Winthrop National Fish Hatchery","Adipose Fin Clip, Coded Wire Tag","AD CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/7/2014","NBD-2014-188-PRD.xml","8/15/2014","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Returning Fish, Mature, Male, Recapture","RE RF MT MA","1"
"384.36F2B352A9","MRC12276.WT3","10/2/2012","WINT - Winthrop National Fish Hatchery","4/12/2013","WINT - Winthrop National Fish Hatchery","Adipose Fin Clip, Coded Wire Tag","AD CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/6/2015","NBD-2015-187-PRD.xml","8/17/2015","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Female, Mature, Returning Fish, Recapture","RF MT RE FE","1"
"384.36F2B3535E","MRC12276.WT3","10/2/2012","WINT - Winthrop National Fish Hatchery","4/12/2013","WINT - Winthrop National Fish Hatchery","Adipose Fin Clip, Coded Wire Tag","AD CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/7/2014","NBD-2014-188-PRD.xml","9/16/2014","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Female, Mature, Returning Fish, Recapture","RE RF MT FE","1"
