spawn_year,pit_tag,second_pit_tag,species_run_rear_type,event_date,event_type,conditional_comments,text_comments,age_scales
2011,3D9.1C2D8CFE3D,NA,32W,2010-07-06T16:00:00Z,Mark,AT MA MT RF,NA,NA
2011,3D9.1C2D8E2734,NA,32H,2010-07-06T16:00:00Z,Mark,AT FE MT RF,NA,NA
2011,3D9.1C2D8E428B,NA,32W,2010-07-06T16:00:00Z,Mark,AT MA MT RF,NA,NA
2011,3D9.1C2D8E5F51,NA,32H,2010-07-06T16:00:00Z,Mark,AT FE MT RF,NA,NA
2011,3D9.1C2D8F93D4,NA,32H,2010-07-06T16:00:00Z,Mark,AT FE MT RF,NA,NA
2011,3D9.1C2D8FB6C8,NA,32H,2010-07-06T16:00:00Z,Mark,AT FE MT RF,NA,NA
2012,3D9.1C2D8C11C8,NA,32H,2011-08-12T00:00:00Z,Mark,AT MA MT RF,NA,NA
2012,3D9.1C2D8FFCBB,NA,32H,2011-08-12T00:00:00Z,Mark,AT FE MT RF,NA,NA
2012,3D9.1C2C83F7B6,NA,32H,2011-08-19T00:00:00Z,Recapture,FE MT RE RF,This is a recap!!!!,NA
2012,3D9.1C2D8B74F8,NA,32H,2011-08-19T00:00:00Z,Mark,AT FE MT RF,NA,NA
2012,3D9.1C2D8FED69,NA,32H,2011-08-19T00:00:00Z,Mark,RF MT AT,NA,NA
2012,3D9.1C2D8C2D7A,NA,32H,2011-08-24T00:00:00Z,Mark,AT FE MT RF,NA,NA
2012,3D9.1C2D8C60B2,NA,32H,2011-08-24T00:00:00Z,Mark,AT FE MT RF,NA,NA
2012,3D9.1C2D9032AF,NA,32W,2011-08-24T00:00:00Z,Mark,AT FE MT RF,NA,NA
2012,3D9.1C2D8D391D,NA,32W,2011-08-26T00:00:00Z,Mark,AT FE MT RF,NA,NA
2012,3D9.1C2D8E5928,NA,32H,2011-08-30T21:15:00Z,Mark,AT MA MT RF,NA,NA
2012,3D9.1C2D8D238D,NA,32H,2011-09-01T21:50:00Z,Mark,AT FE MT RF,NA,NA
2012,3D9.1C2D8D2407,NA,32H,2011-09-01T21:50:00Z,Mark,AT MA MT RF,NA,NA
2012,3D9.1C2D8FDB5C,NA,32H,2011-09-22T00:00:00Z,Mark,AT FE MT RF,NA,NA
2012,3D9.1C2D8C396F,NA,32H,2011-09-28T00:00:00Z,Mark,AT MA MT RF,NA,NA
2012,3D9.1C2D901048,NA,32H,2011-10-07T00:00:00Z,Mark,AT MA MT RF,NA,NA
2012,3D9.1C2D8C848A,NA,32H,2011-10-12T00:00:00Z,Mark,AT FE MT RF,NA,NA
2012,3D9.1C2D8C6CF1,NA,32H,2011-10-13T00:00:00Z,Mark,AT FE MT RF,NA,NA
2014,3D6.000B40E126,NA,32H,2014-04-15T00:00:00Z,Recapture,RE RF MT,released fish,NA
2014,3D9.1C2DEA7D48,NA,35H,2014-04-15T00:00:00Z,Mark,RF MT AT,released fish,NA
2014,3D9.1C2DEA8CED,NA,35H,2014-04-15T00:00:00Z,Mark,RF MT AT,released fish,NA
2015,3D9.1C2D843B37,NA,32W,2014-07-07T15:45:00Z,Recapture,RE RF MT FE,This is a recap!!!!,NA
2016,3DD.003BAB4697,3D9.007791D93D,32W,2015-07-06T15:00:00Z,Recapture,RF MT RE MA DB,This is a recap!!!! same as 3D9.007791D93D,NA
