tag_code,origin,mark_site,site,site_name,event_type_name,first_event,last_event,tag_detects
3D9.1C2D426557,H,EBNK,EBNK,East Bank Hatchery,Mark,2010-05-04T12:00:00Z,2010-05-04T12:00:00Z,EBNK CHU
3D9.1C2D426557,H,EBNK,CHU,Upper Chiwawa River,Observation,2010-05-07T13:02:30Z,2022-06-11T01:51:48Z,EBNK CHU
3DD.003BE5D91C,H,CHIP,CHIP,Chiwawa Rearing Pond,Mark,2019-03-06T17:46:18Z,2019-03-06T17:46:18Z,CHIP CHU
3DD.003BE5D91C,H,CHIP,CHU,Upper Chiwawa River,Observation,2022-06-02T14:27:14Z,2022-06-02T14:33:03Z,CHIP CHU
3DD.003BE5E5B9,H,CHIP,CHIP,Chiwawa Rearing Pond,Mark,2019-03-07T15:38:37Z,2019-03-07T15:38:37Z,CHIP CHU
3DD.003BE5E5B9,H,CHIP,CHU,Upper Chiwawa River,Observation,2022-06-08T15:10:59Z,2022-06-08T15:10:59Z,CHIP CHU
3DD.003D54BE86,H,CHIP,CHIP,Chiwawa Rearing Pond,Mark,2021-03-08T11:54:02Z,2021-03-08T11:54:02Z,CHIP CHU
3DD.003D54BE86,H,CHIP,CHU,Upper Chiwawa River,Observation,2021-07-15T05:02:12Z,2022-06-10T21:04:01Z,CHIP CHU
3DD.003D608948,H,CHIP,CHIP,Chiwawa Rearing Pond,Mark,2020-02-28T11:07:31Z,2020-02-28T11:07:31Z,CHIP CHU
3DD.003D608948,H,CHIP,CHU,Upper Chiwawa River,Observation,2022-06-03T08:19:18Z,2022-06-03T08:19:18Z,CHIP CHU
3DD.003D60F868,H,CHIP,CHIP,Chiwawa Rearing Pond,Mark,2020-02-24T14:40:28Z,2020-02-24T14:40:28Z,CHIP CHU
3DD.003D60F868,H,CHIP,CHU,Upper Chiwawa River,Observation,2022-05-27T12:56:17Z,2022-05-27T12:56:17Z,CHIP CHU
3DD.003D615689,H,CHIP,CHIP,Chiwawa Rearing Pond,Mark,2020-03-13T10:33:35Z,2020-03-13T10:33:35Z,CHIP TUF TUM CHU
3DD.003D615689,H,CHIP,TUF,Tumwater Dam Adult Fishway,Observation,2021-10-04T07:06:20Z,2021-10-04T10:52:08Z,CHIP TUF TUM CHU
3DD.003D615689,H,CHIP,TUM,"Tumwater Dam, Wenatchee River",Recapture,2021-10-04T15:17:46Z,2021-10-04T15:17:46Z,CHIP TUF TUM CHU
3DD.003D615689,H,CHIP,CHU,Upper Chiwawa River,Observation,2022-05-02T05:08:35Z,2022-05-03T19:05:42Z,CHIP TUF TUM CHU
3DD.003D616B87,H,CHIP,CHIP,Chiwawa Rearing Pond,Mark,2020-03-10T15:14:59Z,2020-03-10T15:14:59Z,CHIP CHU
3DD.003D616B87,H,CHIP,CHU,Upper Chiwawa River,Observation,2021-12-04T05:50:05Z,2022-05-07T00:39:43Z,CHIP CHU
3DD.003D616DD2,H,CHIP,CHIP,Chiwawa Rearing Pond,Mark,2020-03-10T15:47:27Z,2020-03-10T15:47:27Z,CHIP CHU
