"Tag Code","Mark Species Name","Mark Rear Type Name","Mark Site Code Value","Mark Date MMDDYYYY","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3D9.1C2D426557","Steelhead","Hatchery Reared","EBNK","5/4/2010","Observation","Instream Remote Detection System","CHU","6/11/2022 1:51:48 AM","93","100","","","1"
"3DD.003BE5D91C","Steelhead","Hatchery Reared","CHIP","3/6/2019","Observation","Instream Remote Detection System","CHU","6/2/2022 2:27:14 PM","93","100","","","1"
"3DD.003BE5D91C","Steelhead","Hatchery Reared","CHIP","3/6/2019","Observation","Instream Remote Detection System","CHU","6/2/2022 2:33:03 PM","92","100","","","1"
"3DD.003BE5E5B9","Steelhead","Hatchery Reared","CHIP","3/7/2019","Observation","Instream Remote Detection System","CHU","6/8/2022 3:10:59 PM","92","100","","","1"
"3DD.003D31E568","Steelhead","Wild Fish or Natural Production","CHIWAT","6/10/2021","Observation","Instream Remote Detection System","CHL","3/11/2022 4:13:12 PM","86","100","","","1"
"3DD.003D54BE86","Steelhead","Hatchery Reared","CHIP","3/8/2021","Observation","Instream Remote Detection System","CHU","6/10/2022 9:04:01 PM","92","100","","","1"
"3DD.003D608948","Steelhead","Hatchery Reared","CHIP","2/28/2020","Observation","Instream Remote Detection System","CHU","6/3/2022 8:19:18 AM","93","100","","","1"
"3DD.003D60F868","Steelhead","Hatchery Reared","CHIP","2/24/2020","Observation","Instream Remote Detection System","CHU","5/27/2022 12:56:17 PM","92","100","","","1"
"3DD.003D615689","Steelhead","Hatchery Reared","CHIP","3/13/2020","Observation","Instream Remote Detection System","CHU","5/2/2022 5:08:35 AM","91","100","","","1"
"3DD.003D615689","Steelhead","Hatchery Reared","CHIP","3/13/2020","Observation","Instream Remote Detection System","CHU","5/3/2022 7:05:42 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","3/20/2022 11:07:09 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","3/21/2022 9:00:09 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","3/21/2022 2:01:44 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","3/21/2022 5:29:34 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","3/21/2022 11:00:49 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","3/22/2022 6:54:30 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","3/22/2022 1:31:33 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","3/23/2022 2:16:20 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","4/28/2022 10:30:12 AM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","4/28/2022 10:38:16 AM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","4/28/2022 4:38:16 PM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","4/28/2022 10:38:16 PM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","4/29/2022 4:38:18 AM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","4/29/2022 10:40:37 AM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","4/29/2022 4:40:37 PM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","4/29/2022 11:02:05 PM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","4/30/2022 5:02:07 AM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","4/30/2022 11:02:07 AM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","4/30/2022 5:02:07 PM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","4/30/2022 11:02:11 PM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/1/2022 5:02:18 AM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/1/2022 11:02:19 AM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/1/2022 5:12:07 PM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/1/2022 11:12:07 PM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/2/2022 5:17:24 AM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/2/2022 11:17:41 AM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/2/2022 5:17:58 PM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/2/2022 11:18:19 PM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/3/2022 5:18:19 AM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/3/2022 11:18:19 AM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/3/2022 5:18:19 PM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/3/2022 11:18:43 PM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/4/2022 5:18:43 AM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/4/2022 11:18:43 AM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/4/2022 5:18:43 PM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/4/2022 11:18:48 PM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/5/2022 5:18:48 AM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/5/2022 11:18:48 AM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/5/2022 5:21:43 PM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/5/2022 5:57:03 PM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/5/2022 11:57:37 PM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/6/2022 5:57:37 AM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/6/2022 11:57:41 AM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/6/2022 5:57:47 PM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/7/2022 12:20:01 AM","93","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","5/7/2022 12:39:43 AM","92","100","","","1"
"3DD.003D616DD2","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","6/11/2022 12:40:43 PM","93","100","","","1"
"3DD.003D616DD2","Steelhead","Hatchery Reared","CHIP","3/10/2020","Observation","Instream Remote Detection System","CHU","6/11/2022 12:43:03 PM","92","100","","","1"
"3DD.003D617750","Steelhead","Hatchery Reared","CHIP","3/17/2020","Observation","Instream Remote Detection System","CHU","6/23/2022 2:31:13 PM","92","100","","","1"
"3DD.003D6177E4","Steelhead","Hatchery Reared","CHIP","3/18/2020","Observation","Instream Remote Detection System","CHU","6/7/2022 11:21:54 AM","92","100","","","1"
"3DD.003D617CF3","Steelhead","Hatchery Reared","CHIP","3/19/2020","Observation","Instream Remote Detection System","CHU","5/9/2022 10:39:06 AM","93","100","","","1"
"3DD.003D655CD3","Steelhead","Wild Fish or Natural Production","CHIWAT","10/13/2021","Observation","Instream Remote Detection System","CHL","3/23/2022 1:39:59 AM","86","100","","","1"
"3DD.003D655CD3","Steelhead","Wild Fish or Natural Production","CHIWAT","10/13/2021","Observation","Instream Remote Detection System","CHL","4/8/2022 1:42:55 PM","86","100","","","1"
"3DD.003D655CD3","Steelhead","Wild Fish or Natural Production","CHIWAT","10/13/2021","Observation","Instream Remote Detection System","CHL","4/22/2022 1:25:35 PM","86","100","","","1"
"3DD.003D656BAF","Steelhead","Wild Fish or Natural Production","CHIWAT","4/19/2021","Observation","Instream Remote Detection System","CHL","4/23/2022 7:15:51 AM","81","100","","","1"
"3DD.003D656BAF","Steelhead","Wild Fish or Natural Production","CHIWAT","4/19/2021","Observation","Instream Remote Detection System","CHL","4/23/2022 7:16:06 AM","82","100","","","1"
"3DD.003D656BAF","Steelhead","Wild Fish or Natural Production","CHIWAT","4/19/2021","Observation","Instream Remote Detection System","CHL","4/24/2022 4:16:48 AM","81","100","","","1"
"3DD.003D656BAF","Steelhead","Wild Fish or Natural Production","CHIWAT","4/19/2021","Observation","Instream Remote Detection System","CHL","4/25/2022 4:52:15 PM","84","100","","","1"
"3DD.003D656BAF","Steelhead","Wild Fish or Natural Production","CHIWAT","4/19/2021","Observation","Instream Remote Detection System","CHL","4/25/2022 7:41:50 PM","81","100","","","1"
