"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3D9.1C2D426557","Steelhead","Hatchery Reared","Mark","Hatchery","EBNK","5/4/2010 8:00:00 AM","NA","0","CHIWAR","5/4/2010 12:00:00 PM","1"
"3D9.1C2D426557","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","5/7/2010 1:02:30 PM","94","100","","","1"
"3D9.1C2D426557","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","6/11/2022 1:51:48 AM","93","100","","","1"
"3DD.003BE5D91C","Steelhead","Hatchery Reared","Mark","Acclimation Pond","CHIP","3/6/2019 5:46:18 PM","NA","0","CHIWAR","5/2/2019 3:30:00 PM","1"
"3DD.003BE5D91C","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","6/2/2022 2:27:14 PM","93","100","","","1"
"3DD.003BE5D91C","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","6/2/2022 2:33:03 PM","92","100","","","1"
"3DD.003BE5E5B9","Steelhead","Hatchery Reared","Mark","Acclimation Pond","CHIP","3/7/2019 3:38:37 PM","NA","0","CHIWAR","5/2/2019 3:30:00 PM","1"
"3DD.003BE5E5B9","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","6/8/2022 3:10:59 PM","92","100","","","1"
"3DD.003D54BE86","Steelhead","Hatchery Reared","Mark","Acclimation Pond","CHIP","3/8/2021 11:54:02 AM","NA","0","CHIWAR","4/26/2021 11:00:00 AM","1"
"3DD.003D54BE86","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","7/15/2021 5:02:12 AM","94","100","","","1"
"3DD.003D54BE86","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","7/15/2021 5:03:05 AM","91","100","","","1"
"3DD.003D54BE86","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","6/10/2022 9:04:01 PM","92","100","","","1"
"3DD.003D608948","Steelhead","Hatchery Reared","Mark","Acclimation Pond","CHIP","2/28/2020 11:07:31 AM","NA","0","CHIWAR","4/24/2020 10:40:00 AM","1"
"3DD.003D608948","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","6/3/2022 8:19:18 AM","93","100","","","1"
"3DD.003D60F868","Steelhead","Hatchery Reared","Mark","Acclimation Pond","CHIP","2/24/2020 2:40:28 PM","NA","0","CHIWAR","4/24/2020 10:40:00 AM","1"
